Xcoordinate,Ycoordiante,d8:c7:c8:42:69:50,d8:c7:c8:42:69:51,d8:c7:c8:42:63:90,d8:c7:c8:42:63:91,d8:c7:c8:42:69:12,d8:c7:c8:42:69:10,d8:c7:c8:42:69:11,d8:c7:c8:42:22:91,d8:c7:c8:42:22:92,d8:c7:c8:42:63:92,d8:c7:c8:42:67:10,d8:c7:c8:42:67:12,d8:c7:c8:42:67:11,d8:c7:c8:42:67:90,d8:c7:c8:42:67:91,d8:c7:c8:42:22:90,d8:c7:c8:42:63:82,d8:c7:c8:42:69:52,d8:c7:c8:42:67:92,9c:5d:12:93:95:15,d8:c7:c8:42:63:81,9c:5d:12:93:95:16,d8:c7:c8:42:68:b2,d8:c7:c8:42:68:b0,d8:c7:c8:42:68:b1,d8:c7:c8:42:69:01
197.6029052734375,1074.302978515625,-71,-71,-85,-85,-120,-120,-120,-66,-66,-84,-120,-120,-120,-120,-120,-66,-86,-71,-120,-120,-87,-120,-120,-120,-120,-120
234.51820373535156,1490.59130859375,-69,-70,-64,-63,-120,-120,-120,-42,-45,-63,-88,-88,-88,-120,-120,-45,-65,-71,-120,-87,-65,-120,-120,-120,-120,-120
322.6571044921875,2334.6650390625,-88,-88,-51,-51,-120,-120,-120,-66,-66,-51,-54,-54,-54,-89,-89,-66,-43,-88,-120,-80,-43,-80,-120,-120,-120,-120
458.6594543457031,695.7858276367188,-50,-50,-88,-89,-73,-73,-73,-73,-73,-88,-120,-120,-120,-120,-120,-72,-120,-50,-120,-120,-120,-120,-120,-120,-120,-85
472.24530029296875,1129.4700927734375,-55,-56,-87,-87,-120,-120,-120,-66,-66,-88,-120,-120,-120,-120,-120,-66,-81,-56,-120,-120,-82,-120,-120,-120,-120,-120
480.0332946777344,1971.513916015625,-89,-90,-61,-61,-120,-120,-120,-52,-52,-61,-86,-86,-86,-120,-120,-52,-57,-120,-120,-88,-58,-90,-120,-120,-120,-120
564.0531005859375,1497.9312744140625,-77,-77,-79,-79,-120,-120,-120,-50,-52,-79,-120,-120,-120,-120,-120,-52,-81,-77,-120,-120,-120,-120,-120,-120,-120,-120
739.5462036132812,2335.23828125,-120,-120,-61,-61,-120,-120,-120,-81,-81,-61,-64,-64,-64,-82,-83,-81,-60,-120,-83,-69,-60,-69,-120,-120,-120,-120
782.2942504882812,566.5399780273438,-64,-64,-120,-120,-83,-83,-83,-86,-79,-120,-120,-120,-120,-120,-120,-86,-120,-64,-120,-120,-120,-120,-120,-120,-120,-120
1082.7894287109375,497.1142272949219,-88,-88,-120,-120,-84,-83,-83,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-86
1227.039306640625,2343.36669921875,-120,-120,-70,-70,-87,-87,-86,-91,-90,-70,-49,-50,-50,-74,-74,-89,-74,-120,-75,-71,-73,-71,-82,-82,-82,-120
1234.20166015625,727.1991577148438,-74,-74,-120,-120,-63,-63,-63,-120,-120,-120,-120,-120,-120,-84,-84,-120,-120,-74,-84,-120,-120,-120,-120,-120,-120,-69
1395.28515625,583.5389404296875,-89,-88,-120,-120,-52,-52,-52,-120,-120,-120,-120,-120,-120,-73,-73,-120,-120,-87,-71,-120,-120,-120,-81,-81,-81,-67
1493.8203125,1978.3414306640625,-120,-120,-92,-90,-76,-76,-77,-120,-120,-120,-55,-55,-55,-53,-52,-120,-120,-120,-53,-79,-120,-80,-67,-66,-66,-78
1612.4600830078125,1631.703125,-120,-120,-120,-120,-54,-54,-54,-120,-120,-120,-70,-70,-70,-48,-47,-120,-120,-120,-48,-88,-120,-88,-46,-49,-49,-61
1628.0284423828125,743.6041870117188,-77,-77,-120,-120,-47,-47,-47,-120,-120,-120,-87,-88,-88,-63,-62,-120,-120,-77,-63,-120,-120,-120,-69,-68,-69,-45
1636.5748291015625,2369.04248046875,-120,-120,-71,-71,-82,-82,-82,-89,-88,-71,-46,-47,-47,-69,-68,-120,-72,-120,-68,-74,-71,-74,-86,-85,-86,-120
1644.7938232421875,1191.044677734375,-91,-91,-120,-120,-45,-45,-45,-120,-120,-120,-88,-87,-87,-56,-56,-120,-120,-120,-57,-120,-120,-120,-57,-57,-57,-49
1800.9298095703125,2157.78125,-120,-120,-84,-84,-91,-89,-92,-120,-120,-84,-70,-70,-70,-80,-81,-120,-82,-120,-81,-80,-120,-81,-83,-82,-82,-120
